Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
65,2,0,0,0,58138,1617,4981,58,635,81,546,120.5,81,88,8,10,4,3,0,7,2
68,2,0,1,2,46344,27,4431,38,11,1,6,2,1,6,1,1,2,2,0,5,0
57,2,1,0,0,71613,776,4630,26,426,49,127,111,21,42,8,2,10,1,0,4,2
38,2,1,1,1,26646,53,4457,26,11,4,20,10,3,5,2,0,4,2,0,6,0
41,4,1,1,1,58293,422,4479,94,173,43,118,46,27,15,5,3,6,5,0,5,1
55,3,1,1,1,62513,716,4611,16,520,42,98,0,42,14,6,4,10,2,0,6,1
51,2,0,1,1,55635,590,4911,34,235,65,164,50,49,27,7,3,7,4,0,6,1
37,4,1,1,1,33454,169,4735,32,76,10,56,3,1,23,4,0,4,2,0,8,0
48,4,1,1,1,30351,46,4706,19,14,0,24,3,3,2,3,0,2,1,0,9,0
72,4,1,1,2,5648,49,4426,68,28,0,6,1,1,13,1,0,0,1,1,20,0
39,2,1,1,1,51381.5,19,4544,11,5,5,6,0,2,1,1,0,2,1,0,7,0
46,0,1,0,0,7500,61,4911,59,6,16,11,11,1,16,2,0,3,1,0,8,0
63,2,0,0,0,63033,1102,4544,82,194,61,480,120.5,81,30,3,4,8,1,0,2,2
70,3,0,1,2,59354,310,4544,53,233,2,53,3,5,14,6,1,5,3,0,6,1
35,2,1,0,0,17323,46,4945,38,3,14,17,6,1,5,1,0,3,1,0,8,0
76,4,0,0,0,82800,1315,4900,23,1006,22,115,59,68,45,7,6,12,1,2,3,2
42,2,1,1,2,41850,96,4870,51,53,5,19,2,13,4,3,0,3,3,0,8,0
76,2,1,0,0,37760,317,4985,20,84,5,38,120.5,12,28,4,1,6,2,0,7,1
73,3,1,1,1,76995,1782,4776,91,1012,80,498,0,16,126.5,11,4,9,2,1,5,1
37,1,0,1,1,33812,133,4921,86,4,17,19,30,24,39,2,1,3,2,0,6,0
40,2,1,0,0,37040,316,5008,41,86,2,73,69,38,48,4,2,5,1,0,8,1
43,2,1,1,1,2447,1730,4857,42,1,1,556,1,1,1,0,28,0,15,0,1,1
73,4,1,1,1,58607,972,4871,63,867,0,86,0,0,19,2,3,9,3,1,8,1
68,4,1,1,1,65324,544,4487,0,384,0,102,21,32,5,6,2,9,3,0,4,1
71,2,1,1,1,40689,444,4786,69,270,3,27,39,6,99,7,1,5,7,0,8,1
53,2,0,0,0,18589,75,4861,89,6,4,25,15,12,13,2,1,3,2,0,7,0
46,2,1,1,2,53359,257,4716,4,173,4,30,3,6,41,5,1,4,4,0,7,1
36,2,0,1,1,51381.5,637,4812,19,5,1,3,3,81,126.5,27,0,0,0,0,1,1
33,2,1,1,1,38360,131,4712,26,36,2,42,20,21,10,2,1,4,2,0,3,0
57,4,1,0,0,84618,1672,4537,96,684,81,556,21,66,0,6,9,10,1,1,2,2
33,3,0,0,0,10979,30,4356,34,8,4,10,2,2,4,3,0,3,2,0,5,0
59,3,1,0,0,38620,318,4732,56,112,17,44,34,22,89,2,5,3,1,0,3,2
52,2,1,1,1,40548,120,4945,31,110,0,5,2,0,3,2,1,4,2,1,5,0
70,4,0,1,2,46610,302,4926,8,96,12,96,33,22,43,4,1,6,6,0,6,1
76,3,1,0,0,68657,1196,4812,4,482,34,471,119,68,22,3,5,9,1,0,7,2
71,3,0,1,2,49389,65,4622,55,40,0,19,2,1,3,2,0,3,1,0,7,0
52,4,1,1,1,67353,913,4498,37,702,17,151,0,8,35,5,6,12,5,0,2,1
46,1,1,1,1,23718,81,4618,76,6,3,14,15,7,36,3,1,2,3,0,7,0
49,2,0,1,1,42429,67,4456,99,55,0,6,2,0,4,1,1,3,2,0,5,0
79,4,0,0,0,48948,902,4831,53,437,8,206,120.5,49,42,7,10,5,2,1,6,2
42,2,1,1,1,80011,1395,4744,3,421,76,536,82,81,102,8,6,5,2,0,4,2
37,3,1,1,1,20559,53,4792,88,13,1,29,3,0,7,2,0,3,2,0,8,0
65,2,1,1,1,21994,22,4870,4,9,0,6,3,1,3,0,0,3,1,0,5,0
63,4,0,0,0,51381.5,186,4554,80,81,11,50,3,2,39,1,3,4,1,0,2,0
47,3,1,1,1,7500,31,4588,19,3,1,10,3,2,12,2,0,3,3,0,5,0
46,2,0,0,0,79941,984,4319,72,123,81,266,120.5,30,126.5,2,4,9,1,0,1,2
26,1,1,0,0,7500,122,4915,24,3,18,14,15,22,50,3,1,3,3,0,9,0
54,2,1,1,1,41728,55,4719,92,13,6,15,3,5,13,2,0,2,1,0,10,0
71,2,0,1,3,51381.5,124,4497,96,48,5,48,6,10,7,2,1,4,3,0,6,0
68,4,1,1,2,72550,1319,4916,39,826,50,317,50,38,38,5,2,12,9,0,8,1
65,2,0,1,1,65486,507,4366,29,245,19,125,37,67,14,4,2,10,1,0,2,2
58,3,1,0,0,79143,1693,5005,2,650,37,556,27,81,32,6,9,13,1,0,3,2
45,2,0,1,1,35790,72,4861,54,12,6,20,30,1,3,2,0,3,2,0,7,0
45,2,0,0,0,82582,1617,4340,54,510,81,550,120.5,40,126.5,4,9,7,1,2,1,2
44,2,1,1,2,66373,606,4700,57,328,9,124,12,24,109,4,2,10,7,0,3,1
67,3,1,0,0,82384,1957,4905,55,984,51,432,120.5,81,126.5,3,10,13,1,1,1,2
56,2,0,0,0,70287,1093,4771,30,295,35,482,120.5,81,40,5,5,10,1,0,3,2
34,2,0,1,1,27938,29,4380,31,13,0,8,2,1,5,1,0,4,1,0,3,0
40,2,0,1,1,51381.5,46,4695,57,11,3,22,2,2,6,2,0,3,2,0,6,0
54,4,1,1,1,55954,518,4436,63,447,0,28,0,0,43,8,2,6,3,0,7,1
40,3,0,0,0,75777,1438,4678,12,712,26,538,69,13,80,3,6,11,1,2,1,2
47,2,1,1,2,66653,612,4978,18,452,18,102,16,18,6,4,2,12,4,0,3,1
70,2,0,1,1,61823,884,4814,26,523,7,134,37,14,126.5,8,2,10,4,0,7,1
71,4,0,1,1,67680,606,4701,8,546,0,48,0,6,6,7,3,8,1,0,5,1
74,2,1,0,0,70666,1076,4523,29,398,40,367,119,81,30,7,4,4,1,0,4,2
51,2,1,1,1,25721,34,4722,75,1,3,6,3,6,15,1,1,2,1,0,7,0
55,2,1,1,2,32474,11,4367,0,10,0,1,0,0,0,1,0,2,1,0,7,0
43,1,0,1,1,88194,1274,4420,19,688,14,309,120.5,24,38,11,10,10,1,2,5,2
64,2,1,1,1,69096,653,4593,4,247,49,159,7,81,109,5,2,10,1,0,4,1
52,2,1,1,3,74854,1562,4765,90,856,59,487,58,29,73,2,5,5,7,0,5,1
68,3,1,0,0,66991,1253,4974,1,496,36,460,120.5,60,12,4,8,6,3,0,3,2
49,1,1,1,1,51381.5,109,4971,25,25,3,43,17,4,17,3,0,3,3,0,8,0
63,2,1,1,1,65031,863,4787,29,258,81,291,84,37,86,10,3,13,4,0,7,1
47,4,1,1,2,60631,661,4768,88,565,6,65,0,6,19,9,2,8,5,1,7,1
70,2,1,0,0,28332,65,4378,58,14,10,13,4,15,9,2,1,4,1,0,2,0
45,2,0,1,1,40246,13,4875,68,2,1,6,2,1,1,1,0,2,1,0,6,0
50,3,1,0,0,75251,1890,4989,34,721,81,556,97,18,18,7,6,5,1,0,5,2
46,2,0,0,0,75825,2209,4943,40,1032,81,556,120.5,81,51,5,8,9,0,1,4,2
46,1,1,0,0,26326,18,4616,12,1,0,5,0,3,9,0,0,3,1,0,3,0
57,2,1,0,0,56046,692,4861,9,577,0,64,0,0,51,10,1,8,2,1,8,1
37,2,0,1,1,29760,165,4987,87,64,4,68,7,5,17,3,1,4,4,0,8,0
